"Step","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MAX"
"0","","","","","","","","","","0","0","0","0","0","0","0","0","0","80","80","80","0","0","0","0","0","0","100","100","100","90","90","90","0","0","0"
"5","","","","","","","","","","20","20","20","30","30","30","100","100","100","0","0","0","100","100","100","200","200","200","100","100","100","80","80","80","180","180","180"
"10","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100"
"15","","","","","","","","","","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100"
"20","","","","","","","","","","100","100","100","100","100","100","0","0","0","70","70","70","0","0","0","0","0","0","70","70","70","30","30","30","300","300","300"
"25","","","","","","","","","","0","0","0","200","200","200","0","0","0","210","210","210","10","10","10","100","100","100","10","10","10","0","0","0","100","100","100"
"30","","","","","","","","","","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","210","210","210"
"35","","","","","","","","","","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","110","110","110","100","100","100","100","100","100"
"40","","","","","","","","","","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","100","100","100","100","100","100"
"45","","","","","","","","","","0","0","0","80","80","80","0","0","0","100","100","100","100","100","100","0","0","0","10","10","10","0","0","0","100","100","100"
"50","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0"
"55","","","","","","","","","","100","100","100","0","0","0","90","90","90","100","100","100","0","0","0","0","0","0","0","0","0","300","300","300","200","200","200"
"60","","","","","","","","","","0","0","0","100","100","100","0","0","0","60","60","60","100","100","100","0","0","0","200","200","200","0","0","0","200","200","200"
"65","","","","","","","","","","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0"
"70","","","","","","","","","","0","0","0","0","0","0","0","0","0","20","20","20","0","0","0","0","0","0","100","100","100","110","110","110","200","200","200"
"75","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","90","90","160","160","160","200","200","200"
"80","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","300","300","300","200","200","200"
"85","","","","","","","","","","0","0","0","0","0","0","0","0","0","100","100","100","190","190","190","0","0","0","290","290","290","160","160","160","100","100","100"
"90","","","","","","","","","","0","0","0","90","90","90","0","0","0","0","0","0","0","0","0","20","20","20","100","100","100","0","0","0","100","100","100"
"95","","","","","","","","","","0","0","0","10","10","10","100","100","100","30","30","30","100","100","100","0","0","0","300","300","300","0","0","0","0","0","0"
"100","60","60","60","0","0","0","90","90","90","0","0","0","0","0","0","230","230","230","110","110","110","80","80","80","0","0","0","170","170","170","50","50","50","30","30","30"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","50","50","0","0","0","100","100","100","30","30","30","100","100","100","180","180","180","100","100","100"
"110","0","0","0","0","0","0","180","180","180","0","0","0","0","0","0","0","0","0","300","300","300","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100"
"115","0","0","0","0","0","0","30","30","30","0","0","0","0","0","0","0","0","0","240","240","240","0","0","0","100","100","100","0","0","0","200","200","200","220","220","220"
"120","0","0","0","20","20","20","300","300","300","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","120","120","120"
"125","0","0","0","0","0","0","200","200","200","0","0","0","0","0","0","0","0","0","20","20","20","100","100","100","190","190","190","120","120","120","0","0","0","60","60","60"
"130","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","50","50","50","0","0","0","0","0","0","20","20","20","190","190","190","0","0","0","20","20","20"
